year,assignment1,assignment2,assignment3,assignment4,assignment5,assignment6,assignment7,assignment8,exam1,exam2,texam,finalscore,presence,finalgrade,class
2016,8.57,10.00,8.57,1.43,5.71,5.14,1.00,5.00,10.00,0.00,0.00,0.00,0.00,1.57,II,A
2017,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,8.90,5.50,10.00,10.00,5.00,7.46,MS,A
2017,10.00,10.00,5.71,3.71,9.71,2.86,10.00,,6.60,1.50,10.00,9.50,0.00,4.71,MM,A
2017,10.00,10.00,7.14,10.00,5.71,2.86,10.00,,6.40,10.00,10.00,7.00,5.00,7.76,MS,A
2017,10.00,10.00,7.14,4.57,9.00,5.71,10.00,,9.90,10.00,0.00,3.00,1.00,5.12,MM,A
2017,10.00,10.00,10.00,1.43,8.57,7.14,10.00,5.00,9.40,10.00,9.50,5.00,0.00,6.45,MS,A
2017,8.57,7.14,5.71,2.86,2.86,5.71,10.00,,8.70,0.00,0.00,0.00,0.00,1.48,II,A
2017,10.00,10.00,10.00,10.00,9.71,8.43,10.00,,9.20,10.00,10.00,9.00,2.00,7.81,MS,A
2017,10.00,6.71,4.29,1.43,7.14,5.71,5.00,,5.40,7.00,10.00,2.00,1.00,4.90,MM,A
2017,10.00,10.00,10.00,10.00,9.86,0.00,10.00,,10.00,10.00,10.00,10.00,8.00,9.38,SS,A
2017,10.00,10.00,7.14,10.00,9.86,2.86,6.00,,10.00,0.00,7.50,0.00,10.00,5.25,MM,A
2017,10.00,9.43,10.00,8.57,8.57,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.67,II,A
2017,10.00,10.00,10.00,10.00,9.86,5.71,5.00,,6.50,0.00,0.00,0.00,0.00,1.52,II,A
2017,10.00,10.00,5.71,10.00,7.00,2.86,9.00,5.00,6.50,10.00,10.00,10.00,10.00,9.39,SS,A
2017,10.00,7.43,1.43,10.00,10.00,9.86,9.00,5.00,10.00,0.00,6.00,10.00,10.00,6.62,MS,A
2017,10.00,10.00,8.14,10.00,8.71,4.14,9.00,5.00,10.00,10.00,7.50,0.00,0.00,5.46,MM,A
2017,10.00,10.00,4.29,10.00,9.86,2.86,8.10,,6.70,0.00,0.50,0.00,0.00,1.53,II,A
2017,10.00,10.00,8.57,10.00,2.86,2.86,6.00,,6.60,0.00,10.00,10.00,9.00,6.54,MS,A
2017,10.00,10.00,10.00,1.43,5.71,7.14,10.00,5.00,5.90,0.00,0.00,1.00,0.00,1.49,II,A
2017,10.00,9.00,10.00,5.71,8.57,5.71,8.00,5.00,9.60,0.00,2.50,0.00,10.00,4.48,MM,A
2017,10.00,10.00,5.43,10.00,9.43,7.71,2.00,5.00,9.70,10.00,10.00,9.00,9.00,9.31,SS,A
2017,10.00,5.14,10.00,1.43,7.43,0.00,1.00,,6.30,0.00,10.00,0.00,0.00,2.53,MI,A
2017,10.00,10.00,5.86,10.00,9.71,0.00,9.00,,9.80,0.00,0.50,0.00,0.00,1.83,II,A
2017,10.00,5.71,2.86,5.57,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.34,SR,A
2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,SR,A
2017,10.00,10.00,4.29,8.57,9.43,7.14,2.00,5.00,9.40,8.00,4.50,10.00,8.00,7.88,MS,A
2013,10.00,1.43,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.16,TR,B
2016,8.57,5.71,0.00,0.14,7.00,9.86,0.00,,6.20,0.00,0.00,0.00,0.00,1.07,II,B
2016,10.00,8.14,10.00,10.00,4.57,0.00,0.00,,9.50,10.00,9.50,9.00,9.00,9.09,SS,B
2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,SR,B
